,returns,returns,returns,returns,returns,returns,turnover,turnover,turnover,turnover,turnover,turnover,growth,growth,growth,growth,growth,growth,drawdown,drawdown,drawdown,drawdown,drawdown,drawdown
,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility
2010-05-07,-0.02414928113824317,-0.014977037644777758,-0.0011049695839031022,0.005393496292250157,-0.011008299561913706,-0.014977037644777758,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.9758507188617568,0.9850229623552222,0.998895030416097,1.0053934962922502,0.9889917004380863,0.9850229623552222,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,0.011955586881111839,0.015195731284339183,0.010843194118708535,0.012587531105810247,0.013729963345470664,0.015195731284339183,0.0,0.0,0.0,0.0,0.0,0.0,0.987517586914104,0.999991106600076,1.009726243135112,1.0180489182004082,1.0025705202340758,0.999991106600076,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-21,-0.00877341235627549,-0.01623943647079696,-0.007552503755027892,-0.01063591827017302,-0.01139148070751219,-0.01623943647079696,0.0,0.0,0.0,0.0,0.0,0.0,0.9788536879150324,0.983751814553082,1.0021002818922837,1.0072210331113907,0.9911497574949089,0.983751814553082,-0.00877341235627549,-0.016239436470796953,-0.007552503755027917,-0.010635918270172962,-0.01139148070751217,-0.016239436470796953
2010-05-28,-0.006488912594264713,0.004159497603720497,0.0004177744291456978,0.006903006979890041,0.0021790534187634044,0.004159497603720497,0.07531621116349724,0.0,0.0,0.0,0.0,0.0,0.972501991891578,0.9878437278683713,1.0025189337654978,1.0141738869332506,0.9933095257624845,0.9878437278683713,-0.01520539504460694,-0.012147486764162552,-0.007137884568827357,-0.0038063311083395,-0.009237249933729319,-0.012147486764162552
2010-06-04,-0.00883666509729689,-0.0041848322797783406,-0.0002553617735274161,0.0021594224402519337,-0.002534977028662974,-0.0041848322797783406,0.0,0.0,0.0,0.0,0.0,0.0,0.963908317482778,0.9837097675486111,1.0022629287525766,1.0163639167830119,0.9907915089323245,0.9837097675486111,-0.023907695158222553,-0.01628148384921213,-0.007391423599492075,-0.0016551281448978772,-0.011748810746002425,-0.01628148384921213
2010-06-11,0.015764164364297964,0.011626260112455235,0.009064084677950009,0.006834674349383518,0.010393027142549749,0.011626260112455235,0.0,0.0,0.0,0.0,0.0,0.0,0.9791035266316905,0.9951466331812941,1.01134752480836,1.0233104331746876,1.001088831977266,0.9951466331812941,-0.00852041562997019,-0.004844516503004548,0.0,0.0,-0.0014778893124285375,-0.004844516503004548
2010-06-18,0.012410775552713698,0.01695969836561654,0.013760763245443685,0.016775886441709766,0.01596038956426361,0.01695969836561654,0.0,0.0,0.0,0.0,0.0,0.0,0.9912549607435869,1.0120240199096078,1.0252644386561134,1.040477372796243,1.0170665997240569,1.0120240199096078,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-25,-0.012696503754885518,-0.005030184748899423,-0.0018469950195217192,0.0025472358841637766,-0.002937320038477406,-0.005030184748899423,0.0,0.0,0.0,0.0,0.0,0.0,0.978669488412457,1.0069333521191386,1.023370780344223,1.0431277140968902,1.0140791496202215,1.0069333521191386,-0.012696503754885513,-0.00503018474889938,-0.00184699501952168,0.0,-0.0029373200384772424,-0.00503018474889938
2010-07-02,-0.024236005352545883,-0.019173037142209762,-0.014418542326848336,-0.011427883554580865,-0.015113431220842067,-0.019173037142209762,0.0,0.0,0.0,0.0,0.0,0.0,0.9549504494529194,0.9876273815592286,1.00861526543177,1.0312069720476347,0.9987529341399463,0.9876273815592286,-0.036624796574469376,-0.02410677797208638,-0.016238906370503514,-0.01142788355458102,-0.018006358274944234,-0.02410677797208638
