,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility
2010-05-07,1.0,1.0,1.0,1.0,1.0000000000000002,1.0
2010-05-14,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-21,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-28,0.07531621116349724,0.0,0.0,0.0,0.0,0.0
2010-06-04,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-11,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-18,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-25,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-02,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-09,0.0,0.07657291589034976,0.08149508050277918,0.0,0.0714654064494204,0.07657291589034976
2010-07-16,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-23,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-30,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-06,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-13,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-20,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-27,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-03,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-10,0.0,0.0,0.68103114264048,1.1999999999999997,0.0,0.0
2010-09-17,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-24,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-08,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-15,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-22,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-29,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-05,0.0,0.0,0.178039821686194,0.40738157890689064,0.0,0.0
2010-11-12,0.0,0.0,0.0,0.0,0.06195568988704567,0.0
2010-11-19,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-26,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-03,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-10,0.06900024414603018,0.07335097724583226,0.0,0.0,0.0,0.07335097724583226
2010-12-17,0.0,0.0,0.228410513118871,0.402064157622177,0.0,0.0
2010-12-24,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-07,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-14,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-28,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-04,0.0,0.0,0.1935269625698698,0.39876447778345037,0.0,0.0
2011-02-11,0.06134431194577433,0.0,0.0,0.0,0.0,0.0
2011-02-18,0.0,0.0,0.21703229582534575,0.4020641576221769,0.0,0.0
2011-02-25,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-04,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-11,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-18,0.0,0.0,0.6804746602962632,1.183502903013796,0.0,0.0
2011-03-25,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-08,0.0,0.0,0.6959226092606036,1.2,0.0,0.0
2011-04-15,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-22,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-29,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-06,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-13,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-20,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-27,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-03,0.0,0.0,0.22263649730318683,0.4205392564981857,0.0,0.0
2011-06-10,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-17,0.0639214372278103,0.0,0.0,0.0,0.0,0.0
2011-06-24,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.8886428635466809,1.4338731451400368,0.0,0.0
2011-07-08,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-15,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-22,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-29,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-05,0.0,0.0,0.37801083823941506,0.5826874914066855,0.0,0.0
2011-08-12,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-19,0.07896635724510587,0.09034273716711291,0.0,0.0,0.09806946905219571,0.09034273716711291
2011-08-26,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-02,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-09,0.0,0.0,0.43719779959976035,0.5661268548599634,0.0,0.0
2011-09-16,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-23,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-30,0.08399666313172999,0.06568577550156768,0.07083310381952809,0.08015511593764951,0.07786625023542168,0.06568577550156768
2011-10-07,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-14,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-21,0.06273157097783283,0.0,0.6603287502898458,1.2,0.0,0.0
2011-10-28,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-04,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-11,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-18,0.0,0.0,0.6992939840784121,1.1997780129824736,0.0,0.0
2011-11-25,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-02,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-09,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-16,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-23,0.0,0.0,0.0,0.06853144610267953,0.0,0.0
2011-12-30,0.0,0.0,0.884823076043284,1.4202775877949319,0.0,0.0
2012-01-06,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-13,0.0,0.0,0.20309353098745886,0.40206415762217695,0.0,0.0
2012-01-20,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-27,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-03,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-10,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-17,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-24,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09,0.0,0.06881455040676338,0.0,0.0,0.0,0.06881455040676338
2012-03-16,0.0,0.0,0.17578481148269923,0.41158502755167115,0.0,0.0
2012-03-23,0.07119927787999825,0.0,0.0,0.0,0.07662575494907073,0.0
2012-03-30,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-06,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-13,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-20,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-27,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-04,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-11,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-18,0.0,0.0,0.9048672133642675,1.4338731451400366,0.0,0.0
2012-05-25,0.09138600244007739,0.0,0.0,0.0,0.07122907953455382,0.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-08,0.0,0.0649299984856819,0.0,0.0,0.0,0.0649299984856819
2012-06-15,0.0,0.0,0.7232191501464514,1.1999999999999997,0.0,0.0
2012-06-22,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-29,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-06,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-13,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-20,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-27,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-03,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-10,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-17,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-24,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-31,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-07,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-14,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-21,0.08092872096087383,0.07150848889113037,0.0,0.0,0.0,0.07150848889113037
2012-09-28,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-12,0.0,0.0,0.1695826790432921,0.4121968087527048,0.0,0.0
2012-10-19,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-26,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-02,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-09,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-16,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-23,0.06777328792976495,0.0,0.880051631024157,1.4338731451400368,0.0,0.0
2012-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-07,0.0,0.0,0.6800359435565366,1.2,0.0,0.0
2012-12-14,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-21,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-28,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04,0.0,0.0,0.2036489708884598,0.3969921808840871,0.0,0.0
2013-01-11,0.06561469494523664,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.22075010985472793,0.40206415762217695,0.0,0.0
2013-01-25,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-08,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-15,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-08,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-15,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-22,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-29,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-05,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-12,0.0,0.0,0.19802040840780663,0.4130752210545642,0.0,0.0
2013-04-19,0.0,0.08320317836991173,0.0,0.0,0.08364081408336044,0.08320317836991173
2013-04-26,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-03,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-10,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-17,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-24,0.06554377730429273,0.0,0.0,0.0,0.0,0.0
2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-07,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-14,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-21,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-28,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-05,0.0,0.0,0.06306796413234107,0.0,0.0,0.0
2013-07-12,0.0,0.0797918755203732,0.0,0.0,0.0,0.0797918755203732
2013-07-19,0.0,0.0,0.21397565282903708,0.40206415762217707,0.0,0.0
2013-07-26,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-16,0.0,0.0,0.19956772320924307,0.40733914488659584,0.0,0.0
2013-08-23,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-30,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-06,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-13,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-20,0.06257931329529709,0.0,0.0,0.0,0.0,0.0
2013-09-27,0.0,0.0,0.20510400621496466,0.40473694018444195,0.0,0.0
2013-10-04,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-18,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-25,0.0,0.0,0.0,0.0,0.0,0.0
